timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot runtime
0000 0.7601596117019653 -0.7809388637542725 3.150296449661255 -159.28518897095717 -54.96700498297957 -104.34602537581614 2.407711031999497
0001 0.7537884712219238 -0.7796491384506226 3.140153646469116 -159.4016421847105 -50.70990025097011 -103.18418492039038 1.816333567003312
0002 0.7255792021751404 -0.7710283994674683 3.087599515914917 -148.8279723260007 -51.88219442673641 -111.80455936197889 1.8971314640002674
0003 0.7085978984832764 -0.7638784050941467 3.0488460063934326 -151.7806355829128 -50.291918259587156 -110.87091949645342 1.8503092250030022
0004 0.7030982971191406 -0.7700373530387878 3.0695035457611084 -153.14652301174377 -50.27974110363289 -110.23503036362402 1.7796426610002527
0005 0.698663055896759 -0.7774156928062439 3.087618827819824 -153.15803353414557 -49.94278556885246 -108.6964868827078 1.7910775679993094
0006 0.6840384602546692 -0.7726798057556152 3.063016891479492 -152.65077200620937 -46.774161560284654 -109.19915644547582 1.9615293870010646
0007 0.6496189832687378 -0.7458879947662354 2.9455771446228027 -153.33695011022573 -46.91306863455072 -109.13767202371359 1.7637178299992229
0008 0.6560401320457458 -0.765548825263977 3.0200374126434326 -152.7035809570659 -46.39777931562743 -108.67484196205282 1.8240002959937556
0009 0.6473346948623657 -0.7691059112548828 3.029430389404297 -150.92649857739977 -45.8096606351769 -110.23936879232176 1.8567668199975742
0010 0.6274815201759338 -0.75532466173172 2.96907901763916 -151.99186723595042 -46.40658067972398 -109.92139486435448 1.912758156999189
