frame_id,row_index,gt_frame_id,est_frame_id,match_method,valid_prediction,error_msg,translation_error_m,geodesic_rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,translation_loss,rotation_loss,beta,weighted_pose_loss,inference_runtime_seconds,viewing_angle_deg,dx_m,dy_m,dz_m,gt_x,gt_y,gt_z,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,est_x,est_y,est_z,est_roll_deg,est_pitch_deg,est_yaw_deg,world_marker_x,world_marker_y,world_marker_z,world_marker_roll_deg,world_marker_pitch_deg,world_marker_yaw_deg,world_camera_x,world_camera_y,world_camera_z,world_camera_roll_deg,world_camera_pitch_deg,world_camera_yaw_deg
0000,0,0000,0000,frame_id,True,,3.5787972910701438,128.32277683100787,82.27320549131349,62.315348781555386,99.4759020517526,12.807790050571,1.1283245506615398,0.1,12.920622505637155,2.3751299349969486,51.23257776471674,-1.9147953761970338,-0.7312537911083805,2.9337035656069754,2.1788488103305634,0.3285656454708683,-0.702942514428997,-130.6171210195448,33.361840106118294,65.13728038584689,0.26405343413352966,-0.4026881456375122,2.2307610511779785,147.1096734891417,-28.953508675437092,-34.3386216659057,1.40141518965,1.33991749503,0.111072880724,0.442886045928,-0.254043681629,-138.778360449,1.70390370364,3.12986789829,1.54426650094,0.764569913076,56.5580572315,-88.8639875431
0001,1,0001,0001,frame_id,True,,3.5674446358408907,128.38547986167345,83.16554788074274,64.75292314435083,98.25116860887385,12.726661229789944,1.129309645660135,0.1,12.839592194355957,0.0362474689973169,51.35401783146946,-1.9280688418377983,-0.7249886571995618,2.91266256505215,2.1823107851971733,0.32370619770211007,-0.708516895115016,-131.53683240024012,34.88274787875598,63.407501265361745,0.254241943359375,-0.4012824594974518,2.204145669937134,145.29761971901715,-29.870175265594856,-34.84366734351211,1.40614302536,1.33376826165,0.110869351215,0.472854245808,-0.183367627335,-136.693699451,1.70390445991,3.12986119754,1.54427458004,0.758997433872,56.5723996288,-88.8719502427
0002,2,0002,0002,frame_id,True,,3.582751007873652,130.45126681350465,78.96369719140512,69.0789719692543,99.63086023766212,12.836104784419668,1.1619081753505225,0.1,12.95229560195472,0.03204949799692258,51.22918564059116,-1.9264444355615407,-0.7274383331289986,2.931850966984534,2.1814432387002736,0.3221235300055245,-0.716210898930335,-131.56206207025184,35.57836448895509,63.07523411207868,0.2549988031387329,-0.4053148031234741,2.215640068054199,149.47424073834304,-33.50060748029921,-36.55562612558343,1.40798421603,1.33171387135,0.110920214591,0.528917248907,-0.335557246239,-135.993641387,1.70393030909,3.12987187922,1.54425894383,0.777589894833,56.7272451799,-88.8551729301
0003,3,0003,0003,frame_id,True,,3.5656938434529506,125.85166890163434,76.85355796481008,64.04912403132423,100.57641772204857,12.714172585238273,1.0897130653114355,0.1,12.823143891769417,0.03533214600611245,51.27461320320215,-1.931590841567349,-0.7416844450207989,2.9039685931541346,2.1859458251355406,0.33245781886303827,-0.6746301856376549,-133.1246384715009,35.71548629959989,61.815939676533226,0.25435498356819153,-0.4092266261577606,2.2293384075164795,150.02180356368902,-28.33363773172433,-38.76047804551534,1.39690713236,1.33420466871,0.121028830669,0.53164223617,-0.509395286377,-135.217766954,1.70392052046,3.12974921858,1.54432633579,0.722572185369,55.5483952441,-88.9156122945
0004,4,0004,0004,frame_id,True,,3.594976243965864,130.45158999055423,74.8638822444862,69.95413410258888,103.05053032240141,12.92385419467891,1.1619132967339456,0.1,13.040045524352305,0.033098207000875846,51.28468119251921,-1.9217611172329097,-0.7425958560099704,2.946054954953734,2.175427637351623,0.3314218268981082,-0.7125749782996811,-132.40574397814575,36.69048257316544,61.82375329250189,0.2536665201187134,-0.4111740291118622,2.2334799766540527,152.73037377736804,-33.26365152942344,-41.226777029899516,1.39840025212,1.33230156644,0.121049981093,0.568152464135,-0.508015178049,-134.49173717,1.70390559026,3.12986072224,1.54426342333,0.755373031478,56.5001897283,-88.8734650015
0005,5,0005,0005,frame_id,True,,3.607086713696928,127.77182103159066,74.01423046866284,67.58103935979945,103.062123545849,13.011074560128904,1.1196800227647064,0.1,13.123042562405374,0.03518507399712689,51.200594426246425,-1.9235329647963129,-0.7449158007943841,2.959087011765229,2.177542390436419,0.33005960534455503,-0.7100545143592232,-132.6414261525717,37.1115175991923,61.167130432927344,0.2540094256401062,-0.4148561954498291,2.249032497406006,153.34434337876542,-30.469521760607154,-41.89499311292166,1.39972927652,1.33072367715,0.121117461852,0.792465472377,-0.485529024191,-133.828919349,1.70392253512,3.1298440738,1.54429695804,0.753796353862,56.3987026038,-88.8777352739
0006,6,0006,0006,frame_id,True,,3.604628581644418,131.05526872001147,76.77164408417582,72.73302084324389,100.52482495168321,12.993347211607848,1.1714913789971269,0.1,13.11049634950756,0.033577162997971755,51.468722498724276,-1.9361314343849991,-0.7291174164718852,2.9518011574954532,2.1867577301899765,0.3160827985710368,-0.7198389535159612,-133.27597046735875,37.65710202705545,60.4306795831473,0.2506262958049774,-0.4130346179008484,2.231962203979492,149.95238544846544,-35.07591881618844,-40.09414536853591,1.41413785766,1.32384446692,0.11098969519,0.428832238582,-0.253739208024,-133.020786956,1.70390639578,3.12987110813,1.54426838081,0.766623494219,56.6497261265,-88.8586356811
0007,7,0007,0007,frame_id,True,,3.5677551726859584,127.1230795558321,72.372924919779,69.9002097991542,99.76757629745057,12.728876972227413,1.1095273355818274,0.1,12.839829705785595,0.034627620996616315,51.43274251159636,-1.9491692685188795,-0.7426760098209628,2.8944858747842255,2.197828923970654,0.32676612346079437,-0.6564728456857146,-135.2452765426612,37.35924527756701,58.6922485226592,0.2486596554517746,-0.41590988636016846,2.2380130290985107,152.3817985375598,-32.54096452158719,-41.075327774791376,1.4030291521,1.32621206788,0.121201308474,0.709218336016,-0.342853597173,-132.291602397,1.7040218577,3.12962350282,1.54432999665,0.730202023221,54.9008205225,-88.9144213384
0008,8,0008,0008,frame_id,True,,3.601801669722235,132.093743395404,74.00996761875092,75.99189027158722,100.21184603262553,12.97297526801388,1.188021665835921,0.1,13.091777434597471,0.0331041239987826,51.32893875826038,-1.939822826914611,-0.7451783822062163,2.9418993604281254,2.1892846118734504,0.3254530535223632,-0.688246072540552,-134.58687479163024,38.28846039203019,58.705013852160825,0.24946178495883942,-0.41972532868385315,2.2536532878875732,151.40315758961884,-37.703429879557035,-41.506832180464706,1.4046589146,1.32483514579,0.121103132781,0.822010004308,-0.419221930025,-131.638060064,1.70405352187,3.1296784703,1.54429423074,0.759878932924,55.7001601469,-88.882029888
0009,9,0009,0009,frame_id,True,,3.5923076984972693,125.5206539509264,73.34218541197635,69.45518295907982,100.262159868043,12.904674600682746,1.0845726570467313,0.1,13.01313186638742,0.0310847319997265,51.26995933544713,-1.9411869495873066,-0.7385301711851264,2.9310477672129367,2.185002908087215,0.3231450143152381,-0.7069095073252415,-134.44412081293962,39.12465074541986,58.341752150562606,0.24381595849990845,-0.4153851568698883,2.2241382598876953,152.21369377508404,-30.330532213659964,-41.9204077174804,1.40655721561,1.32296999134,0.121181675709,0.879551901161,-0.49133994465,-130.842713422,1.70393495941,3.12981432573,1.54429849767,0.745464939388,56.1456316977,-88.8902911424
0010,10,0010,0010,frame_id,True,,3.6305028867285207,128.68470847876355,73.41377734300829,73.65864245032351,100.74401952728795,13.180551210544122,1.1340142576618377,0.1,13.293952636310307,0.03605170900118537,51.528556984638755,-1.9340791228650693,-0.7426900858552814,2.9813253082167805,2.1790682497857694,0.32133862325266604,-0.7309197582137288,-134.45020150288607,39.78201976901125,57.99675310328841,0.24498912692070007,-0.42135146260261536,2.2504055500030518,152.1360211541056,-33.87662268131226,-42.74726642399953,1.4086861644,1.32070769148,0.121019498657,0.714549609436,-0.325758658414,-130.181119913,1.70390573191,3.1298727078,1.54425805619,0.775151068697,56.7262272606,-88.8586584741
0011,11,0011,0011,frame_id,True,,3.594585469240098,127.63530965460818,72.59446740622491,73.61894536383426,99.37594110190045,12.921044695672055,1.117541289501264,0.1,13.032798824622182,0.03219304300000658,51.623717950469896,-1.9607977675390669,-0.724009639935451,2.924401964806891,2.2003114329767652,0.307375437931972,-0.7033631464475159,-135.9906567107853,39.827808507842434,56.688184751517944,0.23951366543769836,-0.416634202003479,2.221038818359375,151.41487588298978,-33.79113685599183,-42.6877563503825,1.42330617757,1.31399820129,0.110723240442,0.480049968019,-0.196520845558,-129.432989793,1.70405597419,3.12968950228,1.54425539178,0.781031530731,56.0103675109,-88.8563172409
0012,12,0012,0012,frame_id,True,,3.616875488297727,128.15451852043097,72.20069907899767,74.58571000528958,100.84422564580807,13.08178829784892,1.1256824217181458,0.1,13.194356540020735,0.03381263000483159,51.44322228060361,-1.9439240988961344,-0.738595486715403,2.959294527853456,2.182998761223901,0.3175102482586769,-0.7274529636749891,-135.35960284715904,40.77950140187732,56.66870970616236,0.23907466232776642,-0.4210852384567261,2.231841564178467,152.4396980738433,-33.806208603412266,-44.175515939645706,1.41218898554,1.31749892567,0.120995299674,0.748467463361,-0.460472437572,-128.763821129,1.70391278407,3.12986004418,1.54427621541,0.751578415054,56.5660776052,-88.8821646158
0013,13,0013,0013,frame_id,True,,3.6383450284675254,126.63050543884451,65.92959974031476,72.41215272120691,105.48309648109338,13.237554546174358,1.1018376837099748,0.1,13.347738314545357,0.03374489099951461,51.38960134120162,-1.9439659312452449,-0.7417447095068319,2.9846885583341507,2.1833783879961146,0.31658215571960047,-0.7306599996030715,-135.68056396159554,41.40239273810099,55.89806529416128,0.23941245675086975,-0.42516255378723145,2.254028558731079,158.3898362980897,-31.009759983105916,-49.5850311869321,1.41378923464,1.3155526685,0.121123244415,0.909617807047,-0.473026536965,-127.900926183,1.70394141855,3.12986070352,1.54426327468,0.770031852424,56.6059286001,-88.8542382788
0014,14,0014,0014,frame_id,True,,3.6202169351704185,129.430936225199,71.88691325623944,77.45157945226748,99.93135072491285,13.105970657694698,1.1457724537838403,0.1,13.220547903073083,0.031109447998460382,51.674436403109425,-1.9545379997972554,-0.734854986745741,2.9573197347426197,2.190692451763541,0.3112392926997205,-0.7227272969984792,-136.45118692539214,41.3829565606831,54.77267822303821,0.2361544519662857,-0.4236156940460205,2.2345924377441406,151.66189981836843,-36.06862289158438,-45.15867250187463,1.41858274986,1.31204459223,0.118626819856,1.02634763362,-0.0842877283202,-127.310354831,1.7039278641,3.12983789448,1.5442999021,0.748829771327,56.3577670435,-88.8851807486
0015,15,0015,0015,frame_id,True,,3.6143306043438614,124.38630331605123,68.57950517848269,72.83410570319921,100.25430466854115,13.063385717496663,1.0670152649276723,0.1,13.17008724398943,0.03500196499953745,51.51640568574384,-1.973112960142846,-0.7260572511871441,2.939906772673509,2.207603429240937,0.30059014746743284,-0.6967748966816877,-137.9792639344326,41.76008906994983,53.80103125045086,0.23449046909809113,-0.4254671037197113,2.2431318759918213,153.44123088708474,-31.07401663324939,-46.4532734180903,1.43022060701,1.30745614227,0.111090069292,0.555357460698,-0.394407996127,-126.514405827,1.70409260857,3.12963140887,1.54428022372,0.765494142086,55.6951242316,-88.8662628244
0016,16,0016,0016,frame_id,True,,3.617367767547241,130.69501706229428,71.60748048455861,81.64746441156828,98.65492147974693,13.085349565689711,1.1657727736760817,0.1,13.201926843057318,0.03446178000012878,51.22901773548947,-1.9546797294049187,-0.7328588858609055,2.9542333310958933,2.185467885795109,0.3104912534718369,-0.7363521283981391,-136.74687007093476,43.036180726931015,53.85767729691564,0.23078815639019012,-0.4223676323890686,2.217881202697754,151.64564944450663,-38.611283684637264,-44.79724418283129,1.41950338607,1.31073567725,0.121330853667,1.16785502909,-0.617397253448,-125.691835605,1.70390251267,3.12987495749,1.54426394106,0.766345193786,56.6450248453,-88.8670574003
0017,17,0017,0017,frame_id,True,,3.6291219438790985,121.41101230758169,66.99020583239212,71.23161402227629,100.54376265359367,13.170526083544807,1.0214027136301531,0.1,13.272666354907823,0.035268835999886505,51.47079026374246,-1.9616900971914837,-0.7348058417919581,2.9635044155516432,2.1910123667503902,0.30862381016048834,-0.7253068504729081,-137.87285971546316,43.19730232451111,52.7575243387956,0.22932226955890656,-0.4261820316314697,2.2381975650787354,155.13693445214471,-28.034311697765176,-47.78623831479808,1.4215950041,1.30851946083,0.121230275227,0.984849490264,-0.473905547428,-124.986228206,1.70396211412,3.12979410569,1.54428380829,0.764362207467,56.310858319,-88.8686533204
0018,18,0018,0018,frame_id,True,,3.6532538730233886,132.2521836955533,71.67483210295643,84.5645891237798,98.07633387641992,13.34626386076039,1.190549592181125,0.1,13.465318819978503,0.03407371899811551,51.6511343853895,-1.9678237427537981,-0.7249258170556421,2.991390335275728,2.198019130951697,0.2940842221211786,-0.7408248064060993,-138.40879393437524,43.77790578072207,52.23008781252053,0.23019538819789886,-0.4308415949344635,2.250565528869629,149.91637396266833,-40.786683343057724,-45.84624606389939,1.4362888996,1.30204216545,0.111098435222,0.573919567617,-0.326623045711,-124.310255228,1.70391136928,3.12987583012,1.54427579045,0.774794842732,56.7177961268,-88.855599645
