frame_id,valid_prediction,error_msg,translation_error_m,geodesic_rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,translation_loss,rotation_loss,beta,weighted_pose_loss,inference_runtime_seconds,viewing_angle_deg,dx_m,dy_m,dz_m,gt_x,gt_y,gt_z,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,est_x,est_y,est_z,est_roll_deg,est_pitch_deg,est_yaw_deg,world_marker_x,world_marker_y,world_marker_z,world_marker_roll_deg,world_marker_pitch_deg,world_marker_yaw_deg,world_camera_x,world_camera_y,world_camera_z,world_camera_roll_deg,world_camera_pitch_deg,world_camera_yaw_deg
1789254496946,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,34.336125666782024,nan,nan,nan,0.4082000000000003,0.261506977316196,2.117914802539268,178.6901085331833,46.23356105421819,50.63821241939696,nan,nan,nan,nan,nan,nan,-0.0849,0.4082,0.071,30.0,1.3679,26.0289,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254502706,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,33.21438515581344,nan,nan,nan,0.4400000000000003,0.2523627244227693,2.129579391645664,176.9064239701572,45.16668892049855,48.21304083973388,nan,nan,nan,nan,nan,nan,-0.0997,0.44,0.0718,30.0,1.3679,28.0311,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254508599,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,32.16224154761207,nan,nan,nan,0.4712000000000003,0.24250562224492755,2.142087690357143,175.220232586634,44.048978522946555,45.8802620907388,nan,nan,nan,nan,nan,nan,-0.1156,0.4712,0.0727,30.0,1.3679,30.0334,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254514316,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,31.181526263619325,nan,nan,nan,0.5018000000000002,0.23209950119152858,2.155554413960975,173.62908735501398,42.88430071086798,43.63707543494361,nan,nan,nan,nan,nan,nan,-0.1326,0.5018,0.0735,30.0,1.3679,32.0356,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254520167,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,30.2784784843821,nan,nan,nan,0.5318000000000003,0.22106244605814343,2.169922204813525,172.12982629887662,41.676154541830996,41.47985598867588,nan,nan,nan,nan,nan,nan,-0.1507,0.5318,0.0743,30.0,1.3679,34.0378,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254525910,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,29.458553891936038,nan,nan,nan,0.5611000000000003,0.20936989928397837,2.1850517900667286,170.71905711812693,40.42788038114909,39.40476711892454,nan,nan,nan,nan,nan,nan,-0.1698,0.5611,0.0752,30.0,1.3679,36.04,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254531428,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,28.721759363881684,nan,nan,nan,0.5898000000000002,0.19718569127789115,2.2010578850078564,169.39312672968538,39.142538596473116,37.4076629404839,nan,nan,nan,nan,nan,nan,-0.1899,0.5898,0.076,30.0,1.3679,38.0423,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254536954,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,28.075218116391433,nan,nan,nan,0.6177000000000002,0.18442790683545288,2.2178831319932732,168.14848070709945,37.82317131568301,35.484580920079715,nan,nan,nan,nan,nan,nan,-0.211,0.6177,0.0768,30.0,1.3679,40.0445,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254542628,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,27.522898107660332,nan,nan,nan,0.6449000000000003,0.17101463075223466,2.235470173379344,166.98134554719894,36.47242368538211,33.63122172957412,nan,nan,nan,nan,nan,nan,-0.2331,0.6449,0.0777,30.0,1.3679,42.0467,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254548294,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,27.06277843728175,nan,nan,nan,0.6713000000000002,0.15716705108072943,2.25385180924891,165.88805973548068,35.092808077709286,31.843412612666803,nan,nan,nan,nan,nan,nan,-0.2561,0.6713,0.0785,30.0,1.3679,44.0489,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254553915,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.69803712678146,nan,nan,nan,0.6969000000000002,0.1428032526165082,2.2729706819583364,164.86500351630363,33.68658066438482,30.11696694768751,nan,nan,nan,nan,nan,nan,-0.28,0.6969,0.0793,30.0,1.3679,46.0512,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254559536,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.431448645444362,nan,nan,nan,0.7216000000000002,0.12784132015514219,2.2927694338639872,163.9088349301299,32.25603535406409,28.4480596341196,nan,nan,nan,nan,nan,nan,-0.3048,0.7216,0.0802,30.0,1.3679,48.0534,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254565444,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.25711291464474,nan,nan,nan,0.7455000000000003,0.11250244174912422,2.3132808650487044,163.0162086278201,30.803094364089016,26.832733461788767,nan,nan,nan,nan,nan,nan,-0.3304,0.7455,0.081,30.0,1.3679,50.0556,1.5,0.0,1.5,-125.0,180.0,-90.0
