timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot runtime
0000 0.7601596117019653 -0.7809388637542725 3.150296449661255 -159.28518897095717 -54.96700498297957 -104.34602537581614 2.26145229699614
0001 0.7476643919944763 -0.7737126350402832 3.112583637237549 -163.02490869950793 -54.926150559239915 -97.62145615869326 0.030228449999412987
0002 0.7337068915367126 -0.7794228792190552 3.118690252304077 -158.74993154386144 -50.35417284586684 -101.79889930996205 0.02763096299895551
0003 0.7323375940322876 -0.7876392602920532 3.1450023651123047 -158.34470438072333 -49.159174657374706 -103.4438735481062 0.033051366997824516
0004 0.7157412767410278 -0.7812707424163818 3.1123757362365723 -157.42901723784448 -50.09262327285764 -104.46560859785458 0.03472008999960963
0005 0.7009433507919312 -0.7785196900367737 3.0909879207611084 -155.3858916831203 -50.15075738348224 -105.89128586186833 0.03542927200032864
0006 0.699932873249054 -0.7878889441490173 3.1266191005706787 -156.97201697120556 -49.54985601831161 -105.55981806820954 0.038598680002905894
0007 0.6774033904075623 -0.7766315340995789 3.07216739654541 -154.89722803035812 -48.40808457398112 -106.66334910471622 0.032517316001758445
0008 0.6621559262275696 -0.7716481685638428 3.0427520275115967 -153.67444213372573 -45.70851002218195 -106.95595569857025 0.03769541899964679
0009 0.6567019820213318 -0.7774675488471985 3.0624566078186035 -156.57079263260925 -45.83966445136349 -104.61503179680987 0.0339066910019028
0010 0.6590458154678345 -0.7898701429367065 3.1111135482788086 -155.8022203917073 -46.05410062075347 -105.35169075444519 0.03542477600421989
0011 0.6468940377235413 -0.7910329103469849 3.107546329498291 -156.2313811432925 -45.90515897403762 -106.46442582896321 0.0332252599982894
0012 0.627905011177063 -0.78145432472229 3.063457727432251 -154.2926227471751 -44.613667756077945 -108.09239616011952 0.03565515700029209
0013 0.6295679211616516 -0.7958969473838806 3.1178195476531982 -153.96991438242347 -43.60616824891879 -107.61464619941901 0.03484783800377045
0014 0.6281034350395203 -0.8063228130340576 3.154573440551758 -158.38234727025005 -45.49574944167881 -105.213977811158 0.03673045000323327
0015 0.6132954359054565 -0.8022738695144653 3.133073091506958 -155.75283846491783 -44.146035587577195 -106.75733799641314 0.035958865999418776
0016 0.5934404730796814 -0.7895036935806274 3.0774099826812744 -154.94553754451428 -43.308470601484665 -107.1442172237237 0.03737797999929171
0017 0.5843032598495483 -0.7908295392990112 3.0802981853485107 -156.49884795115574 -44.432798910419315 -106.93091155690605 0.03256819899979746
0018 0.5722727179527283 -0.7907480597496033 3.074887752532959 -155.8138323431621 -43.25512796441636 -106.97248895124599 0.03906646100222133
0019 0.5513625741004944 -0.7780893445014954 3.0197010040283203 -154.28666781069572 -41.403934720367204 -107.82042136601781 0.03361237199715106
0020 0.5390926599502563 -0.7742311358451843 3.0037598609924316 -153.06903836134782 -41.42967090118978 -109.36473727241287 0.03974692799965851
0021 0.5323032736778259 -0.7790374755859375 3.0192465782165527 -154.30283670860751 -41.560394819458 -107.65745561629646 0.03401798100094311
0022 0.5150395035743713 -0.7670365571975708 2.9690542221069336 -158.62115909589411 -43.921396019024264 -106.5562810324138 0.034565046000352595
0023 0.5060696005821228 -0.7735394239425659 2.9890148639678955 -154.49214738782572 -43.30677170204538 -107.5083009416163 0.032248520001303405
0024 0.5038434863090515 -0.7847923040390015 3.0296289920806885 -158.80675804274728 -46.132136049719385 -106.23927488560045 0.03422590899572242
0025 0.48512962460517883 -0.7746970653533936 2.9840896129608154 -156.2085963120687 -45.852237927569945 -105.832942943477 0.032215954997809604
0026 0.4807056784629822 -0.7841812372207642 3.0173234939575195 -156.0809292193101 -45.28343041173787 -107.36669795131175 0.033706866001011804
0027 0.4659278094768524 -0.7796716690063477 2.9938652515411377 -154.91988633951303 -42.21521719642529 -107.78380882925744 0.032047116998001
0028 0.45436719059944153 -0.7782294154167175 2.987008810043335 -154.41444485463694 -41.61611347865409 -107.36686041559925 0.03630515000259038
0029 0.4438292980194092 -0.7776972651481628 2.982980966567993 -155.83995433387994 -42.69928383346721 -106.64831973093472 0.03426248700270662
0030 0.42694514989852905 -0.768203854560852 2.9429242610931396 -154.2082290952564 -42.33422358423003 -107.93118664462604 0.03867063300276641
0031 0.4208753705024719 -0.7752939462661743 2.9686965942382812 -156.76688227241178 -43.14536673786072 -106.96853087711224 0.03635319399472792
0032 0.40888699889183044 -0.7745801210403442 2.961282730102539 -156.11763983983897 -41.21760624031696 -106.58953694455411 0.03975989099853905
0033 0.39760419726371765 -0.7708444595336914 2.9454798698425293 -155.66195535012912 -42.25286669419459 -107.7685802364579 0.03283268200175371
0034 0.3914615213871002 -0.7781932950019836 2.970794200897217 -155.92486182686275 -41.621887938857256 -107.58643085230977 0.04219651099992916
0035 0.38320815563201904 -0.7827659845352173 2.9843084812164307 -155.99959430251633 -42.00819410822136 -108.20992665736257 0.03510240899777273
0036 0.36979514360427856 -0.7778179049491882 2.9611334800720215 -154.42351234473742 -41.31007337403928 -108.66539841347324 0.04143134000332793
0037 0.36155039072036743 -0.7808291912078857 2.97072434425354 -156.04831783345668 -42.28174158506597 -108.72831126708604 0.03314726700045867
0038 0.35041460394859314 -0.7801544666290283 2.9658002853393555 -157.197887210026 -42.91986880070848 -107.73121453560945 0.03815751400543377
0039 0.333309143781662 -0.7666422128677368 2.9099135398864746 -157.78897464465715 -40.72061504307811 -107.14839621563004 0.03262846099823946
0040 0.3276562988758087 -0.7762339115142822 2.9472196102142334 -157.86864760730407 -42.14297221514145 -107.50621660144685 0.037828487998922355
0041 0.31448471546173096 -0.7686649560928345 2.914454221725464 -157.8826726576947 -43.10271704555675 -108.42907118073137 0.032101359000080265
0042 0.30090758204460144 -0.7623712420463562 2.8874120712280273 -156.80748042588235 -40.7059855508478 -109.5499256580506 0.03450868599611567
0043 0.29255831241607666 -0.7657907009124756 2.9017093181610107 -157.09837731204962 -41.88505492716429 -109.64691677417291 0.031211044995870907
0044 0.2835232615470886 -0.7637262344360352 2.8914287090301514 -156.41869677268363 -42.677428048689336 -110.67607443118973 0.03791780000028666
0045 0.27320733666419983 -0.7624998092651367 2.8848540782928467 -155.84213025440152 -41.38262664636722 -110.85551986683501 0.0380525270011276
0046 0.2623661458492279 -0.7593655586242676 2.8719606399536133 -155.5474936359304 -41.61664064108631 -111.41886004473778 0.038242244998400565
0047 0.2527557611465454 -0.7606001496315002 2.875098705291748 -156.69662244855462 -41.91084326696606 -111.206248473038 0.034798271997715347
0048 0.23540006577968597 -0.7513476610183716 2.838578939437866 -156.75420769194255 -44.04059656075997 -110.50090958225957 0.03825583700381685
0049 0.22787486016750336 -0.7619000673294067 2.878451108932495 -156.97054469383568 -42.878350718276934 -111.42658704547908 0.0356725239980733
0050 0.21574802696704865 -0.756898820400238 2.85821270942688 -155.71505919890384 -42.381553708503596 -112.62072274559023 0.035095013001409825
0051 0.2087262123823166 -0.7623944878578186 2.8792858123779297 -154.4747147242797 -41.785254158134606 -115.19488335494398 0.02940235799906077
0052 0.19934973120689392 -0.7606565952301025 2.8711318969726562 -154.446022888921 -40.03440385342684 -116.80147645446053 0.03594447199429851
0053 0.1929105520248413 -0.7695953249931335 2.9105048179626465 -153.94009432523762 -38.99752916195219 -117.3888667367863 0.034309407994442154
0054 0.18781326711177826 -0.7709585428237915 2.916027069091797 -152.56206498418277 -37.92389860200104 -119.37290773435804 0.03996868299873313
0055 0.18442048132419586 -0.7660134434700012 2.8976335525512695 -151.735160910815 -35.66528541870888 -119.94693644690858 0.03474740700039547
0056 0.18193140625953674 -0.7596598267555237 2.8744847774505615 -150.9313246984434 -34.801220359815964 -120.25986584872972 0.03526038799464004
0057 0.18094685673713684 -0.7563542723655701 2.8616809844970703 -149.78383386345462 -35.819719031725846 -121.2724068888551 0.034181738999905065
0058 0.180254727602005 -0.7533826231956482 2.8508388996124268 -150.3172817353444 -35.20115590919141 -121.43864905245547 0.03862590700009605
0059 0.18061402440071106 -0.7553077340126038 2.8583359718322754 -149.86393696879847 -35.474967105880744 -121.1368209378786 0.0300088060030248
0060 0.18051575124263763 -0.7545279860496521 2.8550944328308105 -150.2694654184731 -35.47970245465724 -121.35101321248254 0.03895731300144689
0061 0.17999620735645294 -0.7535855770111084 2.8516647815704346 -150.16202308304815 -35.34625941675483 -121.11687219080659 0.03166240599966841
0062 0.17999395728111267 -0.7534095644950867 2.8506970405578613 -149.9814931564469 -35.81322556456684 -121.30975744256077 0.033816335002484266
0063 0.1798352152109146 -0.7530353665351868 2.8491575717926025 -149.90682820914023 -35.44452813428084 -121.52876149506777 0.031997229998523835
0064 0.1799677461385727 -0.7535187602043152 2.8512206077575684 -149.92496998896027 -35.582040014630614 -121.41721004876098 0.03738950099796057
0065 0.17998167872428894 -0.7537544965744019 2.8512120246887207 -149.37829718204108 -36.14544488503778 -121.941214038024 0.033735436998540536
0066 0.17956969141960144 -0.7520723938941956 2.844548225402832 -149.32231952917803 -36.40049581362758 -122.32602254580381 0.0373649680041126
0067 0.17919369041919708 -0.7502386569976807 2.837446928024292 -148.96813713154387 -36.56876176524556 -122.57198768838191 0.03332395500183338
0068 0.1792522668838501 -0.7504511475563049 2.838592290878296 -149.20366834731837 -36.34757825536142 -122.48834629068465 0.035102269997878466
0069 0.17903411388397217 -0.7500870823860168 2.8366470336914062 -148.96884698291055 -36.84623261524436 -122.67488892091117 0.034161069997935556
0070 0.1789737194776535 -0.7491578459739685 2.833184003829956 -149.04183213446348 -36.7064327719874 -122.799985695578 0.03519942999992054
0071 0.17890936136245728 -0.7491552233695984 2.833228588104248 -148.846600591125 -36.83269275793525 -122.83525366252671 0.03193612700124504
0072 0.17880339920520782 -0.7486172914505005 2.8311753273010254 -148.60333898985388 -36.76937132655237 -123.06635272392855 0.03600343700236408
0073 0.17878593504428864 -0.7487180829048157 2.831590414047241 -148.81763839441518 -36.74148593504338 -123.03632286514987 0.03381233799882466
0074 0.17864517867565155 -0.748076856136322 2.8292055130004883 -148.58022961642925 -36.73883378964269 -123.07370672798596 0.040052689000731334
0075 0.17843365669250488 -0.7472237348556519 2.8260653018951416 -148.71026954377032 -36.66090708998177 -123.11656068047775 0.03789023499848554
0076 0.17830076813697815 -0.7465245127677917 2.8235251903533936 -148.85094593952243 -36.58964693931432 -122.93070857367005 0.040730642998823896
0077 0.1785612255334854 -0.7480840682983398 2.829141855239868 -148.8493816235479 -36.43285165408648 -122.87530370805838 0.034224055998492986
0078 0.17853669822216034 -0.7481899261474609 2.829331398010254 -149.01656064585032 -36.604110782568334 -122.83455285131402 0.04090825300227152
0079 0.1785094141960144 -0.7478972673416138 2.8279130458831787 -148.49642113424062 -36.78073113419831 -123.11787855421835 0.03316494099999545
0080 0.17866262793540955 -0.7484741806983948 2.8303236961364746 -148.8261392859064 -36.361461477042724 -123.0386510105876 0.03618834199733101
